代号,名字,总斜率,最近一次斜率,第一次金叉,第二次金叉,第三次金叉
600577.SH,['精达股份'],小于0,小于0,20220602， DIF0轴以上,20220718， DIF0轴以上,20220907， DIF0轴以下
600905.SH,['三峡能源'],小于0,小于0,20220704， DIF0轴以上,20220711， DIF0轴以上,20220812， DIF0轴以下
